"Microrregião IBGE";"20 a 24 anos";"25 a 29 anos";"30 a 34 anos";"35 a 39 anos";"40 a 44 anos";"45 a 49 anos";"50 a 54 anos";"55 a 59 anos";"60 a 64 anos";"65 a 69 anos";"70 a 74 anos";"75 a 79 anos";"80 anos e mais";"Total"
"33001 ITAPERUNA";19;21;24;18;22;57;51;85;82;105;115;122;191;912
"33002 SANTO ANTONIO DE PADUA";24;13;23;22;21;35;46;56;55;85;87;102;156;725
"33003 CAMPOS DOS GOYTACAZES";87;101;96;99;122;164;209;218;280;351;377;406;623;3133
"33004 MACAE";35;31;20;31;25;30;46;34;44;58;74;76;137;641
"33005 TRES RIOS";25;23;30;42;42;49;59;71;73;72;92;97;127;802
"33006 CANTAGALO-CORDEIRO";5;10;11;11;5;16;28;21;23;36;43;39;71;319
"33007 NOVA FRIBURGO";32;33;38;48;51;55;64;86;119;117;130;127;205;1105
"33008 SANTA MARIA MADALENA";-;6;6;6;9;13;3;13;17;14;23;18;36;164
"33009 BACIA DE SAO JOAO";9;11;10;7;8;14;14;11;22;26;25;20;44;221
"33010 LAGOS";43;54;46;48;61;59;90;86;85;114;151;134;212;1183
"33011 VALE DO PARAIBA FLUMINENSE";124;134;142;147;170;196;223;270;311;269;274;240;327;2827
"33012 BARRA DO PIRAI";29;25;31;41;46;47;74;92;82;110;112;79;184;952
"33013 BAIA DA ILHA GRANDE";15;25;23;23;24;23;22;34;38;35;35;40;57;394
"33014 VASSOURAS";29;24;26;37;47;62;67;91;92;105;123;91;162;956
"33015 SERRANA";95;85;103;109;126;166;194;237;259;268;329;306;453;2730
"33016 MACACU-CACERIBU";16;10;24;20;22;27;31;38;44;45;55;49;117;498
"33017 ITAGUAI";32;30;31;38;34;37;52;41;55;62;57;57;77;603
"33018 RIO DE JANEIRO";2155;2305;2284;2491;2729;3652;4720;5566;6061;6400;6875;6261;10506;62005
"Total";2774;2941;2968;3238;3564;4702;5993;7050;7742;8272;8977;8264;13685;80170
