"Microrregião IBGE";"20 a 24 anos";"25 a 29 anos";"30 a 34 anos";"35 a 39 anos";"40 a 44 anos";"45 a 49 anos";"50 a 54 anos";"55 a 59 anos";"60 a 64 anos";"65 a 69 anos";"70 a 74 anos";"75 a 79 anos";"80 anos e mais";"Total"
"33001 ITAPERUNA";21;35;43;49;52;77;58;84;97;124;125;142;307;1214
"33002 SANTO ANTONIO DE PADUA";15;19;23;26;33;40;38;53;70;98;112;87;191;805
"33003 CAMPOS DOS GOYTACAZES";94;111;131;148;150;163;200;269;343;382;355;379;806;3531
"33004 MACAE";30;35;35;46;53;56;41;49;69;75;83;75;190;837
"33005 TRES RIOS";20;34;33;47;46;57;76;62;86;98;90;98;225;972
"33006 CANTAGALO-CORDEIRO";10;11;14;16;27;19;32;31;34;45;48;43;99;429
"33007 NOVA FRIBURGO";35;38;50;55;85;65;76;95;134;159;171;150;300;1413
"33008 SANTA MARIA MADALENA";4;4;5;12;11;7;5;14;16;21;22;21;46;188
"33009 BACIA DE SAO JOAO";10;17;17;21;17;22;27;26;39;34;45;36;87;398
"33010 LAGOS";67;64;80;91;101;128;138;143;175;195;170;179;359;1890
"33011 VALE DO PARAIBA FLUMINENSE";117;121;144;210;187;241;228;281;324;401;367;368;540;3529
"33012 BARRA DO PIRAI";18;22;37;50;52;78;78;102;126;140;127;134;247;1211
"33013 BAIA DA ILHA GRANDE";30;20;25;38;42;49;44;50;66;54;79;70;104;671
"33014 VASSOURAS";19;38;41;38;55;58;76;87;104;144;135;118;242;1155
"33015 SERRANA";74;118;131;110;172;198;200;253;325;396;386;369;721;3453
"33016 MACACU-CACERIBU";17;26;37;37;33;40;40;44;55;71;70;69;144;683
"33017 ITAGUAI";30;34;41;51;57;58;60;72;83;87;80;81;138;872
"33018 RIO DE JANEIRO";2505;2545;3079;3463;4057;4536;4948;6036;7390;8991;8823;7923;15153;79449
"Total";3116;3292;3966;4508;5230;5892;6365;7751;9536;11515;11288;10342;19899;102700
