"Microrregião IBGE";"20 a 24 anos";"25 a 29 anos";"30 a 34 anos";"35 a 39 anos";"40 a 44 anos";"45 a 49 anos";"50 a 54 anos";"55 a 59 anos";"60 a 64 anos";"65 a 69 anos";"70 a 74 anos";"75 a 79 anos";"80 anos e mais";"Total"
"33001 ITAPERUNA";17;28;35;39;50;70;80;122;125;150;159;200;492;1567
"33002 SANTO ANTONIO DE PADUA";11;15;20;16;32;43;66;72;66;98;105;139;369;1052
"33003 CAMPOS DOS GOYTACAZES";111;98;123;118;134;210;282;313;400;433;483;524;1353;4582
"33004 MACAE";52;43;59;50;64;82;115;109;126;110;136;151;322;1419
"33005 TRES RIOS";18;21;25;31;54;67;86;90;114;131;135;149;348;1269
"33006 CANTAGALO-CORDEIRO";8;9;10;12;27;26;40;43;51;44;44;73;159;546
"33007 NOVA FRIBURGO";28;13;34;50;58;83;124;130;154;175;177;200;591;1817
"33008 SANTA MARIA MADALENA";4;5;5;1;13;5;10;21;25;22;22;30;68;231
"33009 BACIA DE SAO JOAO";26;31;39;34;37;45;65;79;82;100;82;108;216;944
"33010 LAGOS";84;79;93;99;128;179;248;326;369;377;431;443;981;3837
"33011 VALE DO PARAIBA FLUMINENSE";78;87;101;119;159;268;304;375;490;519;507;556;1344;4907
"33012 BARRA DO PIRAI";20;15;30;39;45;62;106;118;160;128;160;158;437;1478
"33013 BAIA DA ILHA GRANDE";36;36;41;42;34;66;86;96;108;84;115;130;231;1105
"33014 VASSOURAS";11;23;30;26;42;63;85;121;105;119;160;159;397;1341
"33015 SERRANA";42;42;65;71;125;182;250;330;351;389;430;467;1222;3966
"33016 MACACU-CACERIBU";19;10;19;23;33;40;54;71;70;67;91;83;226;806
"33017 ITAGUAI";48;38;42;56;73;90;97;137;171;157;153;192;336;1590
"33018 RIO DE JANEIRO";1621;1569;1873;2153;2644;3642;5403;7078;8193;8704;9243;10743;27043;89909
"Total";2234;2162;2644;2979;3752;5223;7501;9631;11160;11807;12633;14505;36135;122366
